"HDI Rank","Country","2003","","2005","","2010","","2011","","2012","","2013","","2014","","2015","","2016","","2017","","2012-2017",""
"Prison population (per 100,000 people)
SDG 16.3 Promote the rule of law at the national and international levels and ensure equal access to justice for all
Dimension: Human Security
Definition: Number of adult and juvenile prisoners–excluding non-criminal prisoners held for administrative purposes, unless otherwise noted, held in prisons, penal Institutions or correctional Institutions–expressed per 100,000 population.
Source: UNODC (United Nations Office on Drugs and Crime) (2019). UNODC Statistics and Data. https://dataunodc.un.org. Accessed 3 June 2019."
"159"," Uganda","67","","67","","92","","91","","97","","105","","109","","112","","123","","126","","126","a"
"88"," Ukraine","402","","365","","336","","338","","..","","326","","..","","..","","137","","129","","129","a"
"35"," United Arab Emirates","..","","217","","..","","..","","110","","111","","108","","..","","..","","..","","108","a"
"15"," United Kingdom","139","c","138","c","149","c","149","c","149","c","143","c","144","c","144","c","141","c","141","c","141","a,c"
"15"," United States","742","","746","","738","","724","","712","","707","","700","","679","","671","","..","","671","a"
"57"," Uruguay","196","","187","","258","","268","","277","","277","","279","","291","","307","","320","","320","a"
"108"," Uzbekistan","186","","..","","..","","..","","142","","..","","144","","..","","..","","..","","144","a"
"141"," Vanuatu","47","","66","","79","","..","","78","","..","","58","","87","","71","","..","","71","a"
"96"," Venezuela (Bolivarian Republic of)","..","","..","","141","","..","","151","","..","","167","","159","","173","","179","","179","a"
"118"," Viet Nam","..","","105","","..","","126","","144","","..","","154","","146","","138","","136","","136","a"
"177"," Yemen","84","","29","","53","","43","","..","","55","","..","","..","","..","","..","","55","a"
"143"," Zambia","116","","119","","120","","..","","116","","112","","110","","115","","114","","146","","146","a"
"150"," Zimbabwe","167","","139","","95","","..","","115","","112","","113","","120","","..","","118","","118","a"
"182"," Eritrea","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"","Human Development"," ","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
" ","Very high human development","281","","306","","308","","303","","293","","284","","287","","283","","281","","176","","279",""
" ","High human development","135","","138","","145","","161","","147","","159","","156","","154","","149","","..","","160",""
" ","Medium human development","..","","49","","46","","..","","51","","51","","53","","54","","..","","..","","59",""
" ","Low human development","..","","..","","71","","..","","67","","..","","73","","..","","..","","..","","69",""
" ","Developing Countries","..","","100","","103","","112","","104","","114","","110","","110","","..","","..","","114",""
"","Regions"," ","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
" ","Arab States","..","","..","","..","","101","","..","","127","","..","","..","","..","","..","","131",""
" ","East Asia and the Pacific","..","","113","","118","","..","","121","","..","","126","","125","","125","","..","","129",""
" ","Europe and Central Asia","221","","217","","246","","243","","192","","237","","197","","..","","204","","245","","230",""
" ","Latin America and the Caribbean","161","","171","","198","","224","","226","","234","","231","","250","","250","","245","","249",""
" ","South Asia","..","","44","","35","","48","","35","","48","","47","","35","","..","","..","","48",""
" ","Sub-Saharan Africa","..","","99","","97","","..","","88","","..","","92","","..","","..","","..","","87",""
" ","Least Developed Countries","..","","..","","76","","..","","74","","..","","79","","..","","..","","..","","81",""
" ","Small Island Developing States","..","","143","","157","","..","","232","","..","","164","","168","","..","","..","","217",""
" ","Organization for Economic Co-operation and Development","274","","277","","279","","280","","275","","272","","271","","267","","263","","131","","266",""
" ","World","142","","146","","146","","154","","143","","152","","146","","146","","171","","..","","143",""
"a: Data refer to the most recent year available during the period specified."
"b: Refers to Central Iraq."
"c: HDRO calculations based on data from UNODC (2019)."
""
